,Crimes_Z0T100,Crimes_Z0T101,Crimes_Z0T102,Crimes_Z0T103,Crimes_Z0T104,Crimes_Z1T100,Crimes_Z1T101,Crimes_Z1T102,Crimes_Z1T103,Crimes_Z1T104,Crimes_Z2T100,Crimes_Z2T101,Crimes_Z2T102,Crimes_Z2T103,Crimes_Z2T104,Crimes_Z3T100,Crimes_Z3T101,Crimes_Z3T102,Crimes_Z3T103,Crimes_Z3T104,Crimes_Z4T100,Crimes_Z4T101,Crimes_Z4T102,Crimes_Z4T103,Crimes_Z4T104
2020-02-08,70,42,8,58,95,20,13,13.0,34,37,16,9.0,7.0,17,17,12,7,4.0,27,29,3.0,6.0,1.0,4.0,3.0
2020-02-09,59,44,3,59,70,24,14,5.0,19,25,12,8.0,4.0,13,17,15,7,6.0,29,26,7.0,9.0,0.0,4.0,7.0
2020-02-10,67,49,21,72,98,10,13,7.0,26,45,10,8.0,7.0,26,28,9,14,9.0,28,34,3.0,3.0,0.0,7.0,9.0
2020-02-11,69,46,16,54,86,18,15,15.0,24,39,7,7.0,9.0,23,19,22,14,9.0,34,28,7.0,1.0,1.0,5.0,11.0
2020-02-12,69,41,12,71,74,18,11,9.0,25,47,6,6.0,9.0,29,21,10,15,3.0,35,24,7.0,4.0,0.0,6.0,5.0
2020-02-13,76,49,19,75,107,15,17,14.0,23,34,9,8.0,8.0,15,9,9,21,10.0,23,33,4.0,5.0,3.0,7.0,8.0
2020-02-14,62,36,12,59,97,22,13,9.0,19,35,13,7.0,4.0,31,17,15,12,5.0,33,26,2.0,8.0,4.0,10.0,12.0
2020-02-15,58,45,13,62,75,27,10,11.0,27,23,14,8.0,6.0,22,12,10,8,6.0,33,32,7.0,2.0,1.0,4.0,3.0
2020-02-16,66,32,11,57,86,23,8,2.0,9,28,16,6.0,3.0,19,21,12,13,5.0,29,21,6.0,0.0,0.0,3.0,6.0
2020-02-17,66,50,9,59,79,20,13,8.0,33,39,7,17.0,7.0,28,21,13,14,3.0,32,37,5.0,6.0,0.0,6.0,12.0
2020-02-18,71,51,17,86,86,16,16,6.0,25,49,4,15.0,8.0,25,27,9,14,8.0,31,39,4.0,10.0,1.0,6.0,5.0
2020-02-19,74,40,9,61,83,12,18,10.0,22,35,6,20.0,4.0,18,21,18,24,13.0,40,29,2.0,10.0,3.0,8.0,8.0
2020-02-20,70,54,15,81,87,22,16,14.0,24,32,9,7.0,5.0,22,16,9,10,13.0,23,37,7.0,7.0,1.0,3.0,3.0
2020-02-21,67,48,15,59,85,22,8,7.0,30,29,12,10.0,9.0,25,22,12,14,12.0,38,28,7.0,6.0,0.0,11.0,5.0
