,Crimes_Z0T100,Crimes_Z0T101,Crimes_Z0T102,Crimes_Z0T103,Crimes_Z0T104,Crimes_Z1T100,Crimes_Z1T101,Crimes_Z1T102,Crimes_Z1T103,Crimes_Z1T104,Crimes_Z2T100,Crimes_Z2T101,Crimes_Z2T102,Crimes_Z2T103,Crimes_Z2T104,Crimes_Z3T100,Crimes_Z3T101,Crimes_Z3T102,Crimes_Z3T103,Crimes_Z3T104,Crimes_Z4T100,Crimes_Z4T101,Crimes_Z4T102,Crimes_Z4T103,Crimes_Z4T104
2020-06-17,56,39,9,67,92,21,18,5.0,20,41,9,7.0,3.0,21,28,16,19,5.0,40,36,6.0,7.0,1.0,3.0,8.0
2020-06-18,67,58,8,72,113,19,10,6.0,23,40,11,9.0,5.0,13,34,25,8,7.0,34,32,3.0,9.0,2.0,5.0,12.0
2020-06-19,66,37,10,58,97,31,10,12.0,37,56,13,4.0,2.0,26,26,11,13,4.0,30,33,3.0,3.0,2.0,7.0,4.0
2020-06-20,69,52,5,54,85,18,18,5.0,17,33,11,8.0,2.0,13,13,13,11,6.0,26,32,6.0,5.0,0.0,2.0,10.0
2020-06-21,57,50,8,53,109,29,18,2.0,20,34,15,8.0,2.0,11,19,7,15,4.0,23,27,7.0,10.0,0.0,5.0,18.0
2020-06-22,71,56,12,74,106,21,11,10.0,24,44,15,12.0,6.0,13,26,28,20,8.0,36,30,7.0,3.0,1.0,8.0,10.0
2020-06-23,61,46,8,72,90,25,21,5.0,26,51,13,6.0,4.0,16,27,15,10,11.0,51,31,5.0,4.0,0.0,3.0,10.0
2020-06-24,80,48,10,58,98,18,17,11.0,28,47,11,20.0,7.0,20,36,24,12,8.0,31,40,6.0,10.0,5.0,8.0,10.0
2020-06-25,70,52,11,58,90,27,25,8.0,20,55,14,15.0,6.0,19,19,9,22,9.0,19,59,10.0,11.0,1.0,4.0,8.0
2020-06-26,65,53,13,71,101,25,14,10.0,25,39,13,17.0,6.0,18,26,15,16,5.0,26,41,3.0,4.0,1.0,5.0,9.0
2020-06-27,65,47,11,51,94,20,18,9.0,16,38,13,9.0,4.0,16,21,12,6,7.0,34,27,7.0,9.0,1.0,4.0,8.0
2020-06-28,74,36,3,40,77,20,12,2.0,19,35,16,13.0,2.0,10,16,13,14,1.0,22,24,3.0,2.0,0.0,1.0,5.0
2020-06-29,67,51,10,83,117,32,13,7.0,24,49,11,10.0,4.0,19,20,15,17,6.0,34,38,6.0,5.0,0.0,4.0,11.0
2020-06-30,64,44,7,62,102,28,21,4.0,26,44,15,7.0,5.0,22,22,18,15,6.0,40,29,7.0,16.0,1.0,3.0,9.0
2020-07-01,54,44,14,48,82,37,15,8.0,25,41,9,6.0,4.0,16,21,18,21,6.0,31,23,12.0,5.0,0.0,5.0,8.0
2020-07-02,63,37,9,60,90,19,25,5.0,32,46,13,6.0,8.0,17,22,16,9,10.0,33,27,6.0,3.0,1.0,6.0,11.0
2020-07-03,91,47,4,34,76,17,15,6.0,27,40,11,11.0,5.0,17,13,23,15,8.0,18,26,8.0,5.0,1.0,8.0,4.0
2020-07-04,88,55,5,46,91,30,11,7.0,14,39,13,9.0,2.0,12,20,13,16,3.0,21,37,7.0,5.0,0.0,6.0,11.0
2020-07-05,82,57,5,47,94,25,13,2.0,15,36,8,9.0,3.0,17,17,11,20,3.0,24,24,9.0,10.0,1.0,4.0,12.0
2020-07-06,56,42,10,50,94,23,15,12.0,21,44,15,12.0,6.0,25,24,12,20,7.0,34,29,5.0,8.0,0.0,9.0,20.0
2020-07-07,63,45,12,56,95,11,20,4.0,23,40,7,11.0,9.0,19,12,13,22,11.0,37,26,7.0,9.0,1.0,4.0,13.0
2020-07-08,50,35,14,52,80,27,10,8.0,17,36,7,12.0,7.0,9,23,15,23,10.0,30,28,3.0,5.0,1.0,4.0,9.0
2020-07-09,69,41,12,65,81,16,16,5.0,20,36,7,13.0,1.0,18,24,14,14,6.0,29,26,9.0,5.0,3.0,8.0,10.0
2020-07-10,77,39,7,42,79,17,21,4.0,16,39,10,12.0,2.0,9,22,10,14,7.0,28,32,2.0,4.0,0.0,4.0,10.0
2020-07-11,70,36,7,45,83,20,14,8.0,19,28,8,9.0,4.0,15,24,14,12,7.0,30,19,10.0,3.0,0.0,4.0,7.0
2020-07-12,51,40,4,46,58,21,15,7.0,15,28,17,8.0,1.0,12,14,18,7,1.0,33,21,13.0,4.0,2.0,5.0,6.0
2020-07-13,69,59,9,69,118,32,23,10.0,23,44,14,16.0,6.0,21,18,18,20,11.0,33,29,14.0,9.0,2.0,4.0,12.0
2020-07-14,62,45,18,70,70,25,15,5.0,27,33,15,18.0,3.0,17,15,15,11,6.0,33,35,16.0,4.0,1.0,2.0,6.0
2020-07-15,67,53,11,60,90,22,17,8.0,28,27,17,12.0,8.0,12,26,16,15,4.0,26,28,6.0,2.0,0.0,3.0,10.0
2020-07-16,65,33,12,54,94,32,12,4.0,13,38,11,8.0,8.0,13,22,19,17,7.0,29,32,8.0,4.0,1.0,3.0,13.0
2020-07-17,56,34,12,53,87,16,10,5.0,13,29,12,4.0,6.0,25,19,18,12,4.0,39,33,7.0,4.0,0.0,5.0,8.0
2020-07-18,81,31,11,54,118,6,5,3.0,13,26,14,4.0,5.0,20,16,9,13,1.0,20,32,10.0,1.0,1.0,4.0,13.0
2020-07-19,69,43,4,47,84,30,17,4.0,13,24,20,10.0,5.0,8,15,20,17,5.0,26,41,11.0,7.0,0.0,2.0,4.0
2020-07-20,71,48,7,58,102,19,19,6.0,23,51,14,7.0,1.0,19,15,22,13,10.0,18,40,8.0,6.0,1.0,7.0,7.0
2020-07-21,42,46,8,68,94,28,10,13.0,15,43,8,5.0,3.0,11,30,15,20,3.0,36,38,10.0,2.0,2.0,3.0,14.0
2020-07-22,46,63,14,65,113,24,14,6.0,23,37,14,11.0,3.0,19,18,19,17,6.0,24,48,8.0,9.0,0.0,6.0,3.0
2020-07-23,55,49,17,60,90,18,20,4.0,27,39,12,11.0,7.0,20,10,13,16,7.0,36,40,6.0,5.0,1.0,9.0,10.0
2020-07-24,58,36,10,49,83,13,11,5.0,17,28,6,9.0,2.0,13,12,17,21,4.0,28,27,3.0,4.0,0.0,2.0,10.0
2020-07-25,54,44,9,43,90,20,8,2.0,13,17,11,9.0,4.0,12,16,13,13,3.0,27,30,5.0,2.0,0.0,2.0,6.0
2020-07-26,57,48,2,45,88,33,18,6.0,20,32,18,14.0,2.0,12,20,10,11,3.0,20,28,9.0,2.0,0.0,1.0,13.0
2020-07-27,70,36,12,54,84,24,10,7.0,27,45,12,9.0,2.0,20,19,15,18,7.0,36,37,8.0,3.0,0.0,3.0,8.0
2020-07-28,73,47,10,56,107,26,15,3.0,25,45,8,11.0,7.0,12,15,12,13,9.0,32,37,7.0,2.0,2.0,3.0,10.0
2020-07-29,51,43,16,65,94,22,22,10.0,24,38,6,7.0,5.0,14,14,15,13,3.0,37,31,5.0,12.0,0.0,9.0,11.0
2020-07-30,58,43,8,52,92,20,9,7.0,20,29,13,15.0,3.0,20,16,18,21,8.0,35,28,6.0,6.0,0.0,9.0,5.0
2020-07-31,66,34,14,45,108,15,15,4.0,17,15,13,5.0,7.0,18,10,17,13,7.0,29,26,5.0,3.0,1.0,6.0,8.0
2020-08-01,76,41,3,48,88,13,10,3.0,19,26,9,14.0,7.0,10,19,10,12,6.0,26,39,6.0,3.0,2.0,3.0,13.0
2020-08-02,82,38,8,38,90,18,14,2.0,10,36,11,7.0,0.0,14,12,17,15,7.0,19,31,4.0,8.0,0.0,5.0,10.0
2020-08-03,76,38,10,50,75,20,9,4.0,26,41,24,13.0,6.0,6,30,12,22,7.0,31,43,8.0,4.0,2.0,6.0,8.0
2020-08-04,84,60,10,58,84,25,15,4.0,18,37,12,8.0,7.0,17,21,8,20,6.0,31,29,4.0,6.0,0.0,3.0,3.0
2020-08-05,61,50,10,60,94,21,17,10.0,32,34,13,5.0,4.0,16,15,15,19,3.0,30,41,5.0,5.0,0.0,2.0,3.0
2020-08-06,76,42,13,51,82,30,16,12.0,19,35,11,14.0,4.0,7,27,17,13,6.0,25,23,7.0,6.0,0.0,3.0,5.0
2020-08-07,56,51,16,49,78,23,13,10.0,22,34,18,3.0,4.0,16,19,15,19,5.0,22,34,5.0,3.0,0.0,3.0,6.0
2020-08-08,63,57,8,37,78,15,21,3.0,22,31,7,7.0,4.0,17,14,12,10,5.0,19,34,11.0,6.0,1.0,5.0,5.0
2020-08-09,74,44,4,45,85,28,16,0.0,21,41,9,8.0,8.0,8,16,13,17,1.0,33,25,4.0,2.0,0.0,3.0,9.0
2020-08-10,42,56,6,54,71,18,18,10.0,27,44,10,5.0,1.0,14,22,21,9,8.0,41,32,2.0,3.0,2.0,0.0,11.0
2020-08-11,74,39,12,57,71,15,13,11.0,24,34,10,4.0,3.0,17,16,18,16,6.0,20,34,10.0,4.0,1.0,4.0,5.0
2020-08-12,46,41,12,44,74,11,15,10.0,19,39,12,7.0,8.0,10,21,21,13,15.0,26,28,6.0,3.0,1.0,6.0,14.0
2020-08-13,67,51,12,43,89,21,11,6.0,33,27,15,10.0,6.0,12,13,10,12,6.0,35,36,6.0,3.0,0.0,2.0,7.0
2020-08-14,74,39,15,58,99,33,11,5.0,22,29,7,8.0,6.0,18,15,21,17,6.0,25,30,11.0,11.0,0.0,4.0,8.0
2020-08-15,85,39,3,46,98,23,13,3.0,19,23,22,11.0,3.0,14,17,18,11,1.0,23,27,6.0,3.0,1.0,5.0,8.0
2020-08-16,79,42,5,39,74,21,20,5.0,13,24,6,4.0,3.0,11,9,13,17,1.0,20,31,12.0,3.0,0.0,2.0,8.0
2020-08-17,50,50,12,58,84,27,25,9.0,26,38,17,9.0,8.0,17,17,16,18,3.0,34,28,11.0,3.0,0.0,8.0,9.0
2020-08-18,60,54,18,60,78,26,12,6.0,18,31,12,10.0,1.0,16,19,13,16,7.0,28,24,6.0,4.0,1.0,6.0,7.0
2020-08-19,78,49,10,45,88,26,15,4.0,24,32,8,8.0,6.0,7,10,21,20,6.0,29,27,4.0,7.0,1.0,5.0,9.0
2020-08-20,68,43,10,51,90,29,11,9.0,14,24,8,7.0,9.0,14,19,24,19,5.0,39,28,8.0,5.0,0.0,5.0,17.0
2020-08-21,77,55,2,57,80,33,14,8.0,23,33,15,10.0,5.0,14,14,18,15,13.0,35,30,9.0,2.0,2.0,6.0,0.0
2020-08-22,83,40,16,46,108,20,17,3.0,14,23,10,3.0,1.0,15,16,26,21,3.0,18,31,10.0,3.0,0.0,4.0,6.0
2020-08-23,92,54,3,49,79,23,17,2.0,9,28,9,9.0,3.0,13,22,22,9,1.0,25,19,12.0,4.0,2.0,2.0,9.0
2020-08-24,81,37,8,69,69,22,15,4.0,12,40,14,0.0,10.0,12,16,17,15,4.0,31,36,6.0,7.0,1.0,3.0,10.0
2020-08-25,66,38,8,63,83,33,12,8.0,17,40,13,6.0,7.0,21,17,10,18,10.0,54,39,3.0,3.0,1.0,9.0,3.0
2020-08-26,61,40,12,56,81,32,14,6.0,18,45,14,11.0,9.0,20,13,16,14,8.0,34,39,16.0,3.0,1.0,4.0,6.0
2020-08-27,92,56,10,43,79,18,13,6.0,18,34,11,10.0,5.0,12,21,22,21,7.0,25,25,4.0,11.0,1.0,4.0,11.0
2020-08-28,72,30,15,54,70,19,14,10.0,16,31,11,5.0,6.0,17,21,23,18,2.0,34,32,5.0,11.0,1.0,2.0,8.0
2020-08-29,88,29,2,51,81,18,16,4.0,16,39,8,7.0,1.0,12,25,20,18,4.0,27,37,2.0,8.0,1.0,6.0,5.0
2020-08-30,69,38,5,37,62,27,18,3.0,19,29,9,14.0,3.0,9,16,9,14,1.0,28,29,6.0,2.0,0.0,3.0,9.0
2020-08-31,61,47,14,54,96,26,15,6.0,25,42,21,6.0,10.0,12,24,12,19,7.0,30,44,4.0,3.0,2.0,7.0,4.0
2020-09-01,68,39,9,60,90,24,14,6.0,27,41,10,16.0,6.0,21,16,26,11,6.0,28,36,11.0,6.0,1.0,5.0,7.0
2020-09-02,72,34,14,61,67,21,15,10.0,29,29,14,10.0,5.0,18,19,22,19,6.0,30,33,3.0,2.0,1.0,7.0,4.0
2020-09-03,63,58,15,39,82,22,13,3.0,18,35,16,6.0,3.0,16,16,18,17,6.0,34,27,7.0,4.0,1.0,4.0,8.0
2020-09-04,78,46,12,66,94,12,14,6.0,14,27,18,8.0,4.0,11,13,23,16,12.0,26,25,5.0,3.0,1.0,4.0,6.0
2020-09-05,62,42,5,39,73,13,10,6.0,15,27,13,6.0,3.0,5,12,18,20,4.0,22,25,3.0,2.0,0.0,3.0,6.0
2020-09-06,84,40,7,58,69,20,14,3.0,11,26,10,6.0,0.0,13,12,15,22,2.0,32,28,17.0,6.0,0.0,2.0,8.0
2020-09-07,80,47,12,55,56,21,18,3.0,22,19,10,1.0,5.0,16,11,13,21,4.0,33,27,7.0,4.0,0.0,5.0,5.0
2020-09-08,65,55,8,44,96,24,19,12.0,20,27,14,9.0,7.0,13,21,22,22,7.0,39,22,6.0,6.0,1.0,17.0,7.0
2020-09-09,64,51,14,39,79,20,13,5.0,18,28,10,6.0,4.0,13,17,12,21,7.0,35,30,9.0,4.0,2.0,6.0,11.0
2020-09-10,56,49,19,47,84,14,11,10.0,14,19,9,13.0,6.0,19,19,9,21,6.0,38,25,5.0,5.0,1.0,4.0,15.0
2020-09-11,51,45,13,33,72,18,12,7.0,16,29,19,7.0,3.0,10,15,16,9,11.0,26,28,9.0,5.0,1.0,9.0,6.0
2020-09-12,76,62,12,53,77,22,17,6.0,18,34,12,9.0,5.0,16,20,14,11,6.0,21,40,3.0,2.0,1.0,3.0,5.0
2020-09-13,81,40,8,31,79,16,13,3.0,13,14,13,7.0,1.0,8,19,19,8,3.0,23,19,5.0,3.0,1.0,4.0,7.0
2020-09-14,74,54,10,56,95,20,18,6.0,22,35,10,10.0,6.0,18,14,18,17,8.0,40,26,7.0,8.0,2.0,9.0,9.0
2020-09-15,61,52,12,67,105,33,15,7.0,25,36,13,7.0,6.0,11,11,21,16,6.0,39,26,10.0,5.0,1.0,3.0,10.0
2020-09-16,64,55,9,52,72,20,12,7.0,25,35,9,4.0,5.0,18,15,10,14,10.0,36,32,10.0,6.0,0.0,2.0,13.0
2020-09-17,70,46,14,39,100,16,16,5.0,25,33,7,5.0,3.0,16,18,10,18,10.0,25,30,9.0,4.0,3.0,4.0,7.0
2020-09-18,60,46,13,60,95,9,11,9.0,18,28,17,7.0,10.0,12,17,27,14,11.0,32,30,10.0,0.0,1.0,7.0,4.0
2020-09-19,56,41,2,50,63,19,13,6.0,9,32,11,10.0,1.0,10,7,20,3,4.0,23,35,2.0,1.0,1.0,1.0,7.0
2020-09-20,73,48,7,41,90,19,12,5.0,25,20,12,8.0,0.0,7,14,16,20,3.0,31,20,10.0,2.0,2.0,2.0,8.0
2020-09-21,69,43,12,53,85,18,22,10.0,25,31,19,6.0,6.0,14,12,11,19,12.0,26,30,5.0,3.0,1.0,5.0,12.0
2020-09-22,65,49,17,41,78,18,16,3.0,10,24,17,11.0,5.0,14,25,19,14,9.0,33,17,6.0,4.0,1.0,3.0,11.0
2020-09-23,68,39,5,45,79,33,9,13.0,23,22,12,10.0,3.0,14,12,19,21,7.0,33,35,3.0,5.0,2.0,3.0,7.0
2020-09-24,59,45,12,51,79,17,8,5.0,39,23,11,7.0,7.0,11,16,10,14,15.0,25,32,4.0,3.0,1.0,2.0,1.0
2020-09-25,58,52,9,60,64,15,10,2.0,13,33,8,8.0,6.0,14,20,13,11,4.0,36,30,4.0,3.0,1.0,5.0,9.0
2020-09-26,68,49,7,42,81,22,16,0.0,19,23,10,4.0,5.0,9,14,14,14,5.0,29,23,4.0,3.0,0.0,4.0,8.0
2020-09-27,78,51,10,51,70,27,16,2.0,17,31,13,5.0,3.0,9,20,17,11,4.0,27,18,6.0,5.0,1.0,2.0,5.0
2020-09-28,70,43,11,55,95,28,18,7.0,23,47,16,8.0,6.0,14,26,17,16,6.0,27,27,9.0,3.0,2.0,3.0,6.0
2020-09-29,63,39,10,49,77,28,15,6.0,17,37,10,3.0,10.0,13,21,12,16,4.0,33,25,12.0,0.0,2.0,7.0,4.0
2020-09-30,69,38,14,57,63,28,14,5.0,20,37,21,17.0,9.0,17,18,21,14,6.0,35,25,15.0,7.0,1.0,6.0,8.0
2020-10-01,70,60,15,57,84,22,14,5.0,15,46,11,11.0,7.0,12,17,18,23,7.0,28,30,10.0,11.0,1.0,7.0,10.0
2020-10-02,82,51,9,42,78,25,18,7.0,28,34,13,12.0,4.0,10,23,14,14,5.0,41,39,12.0,2.0,0.0,3.0,9.0
2020-10-03,64,43,2,45,71,21,18,2.0,17,29,6,7.0,2.0,16,23,18,18,3.0,26,22,5.0,8.0,0.0,3.0,6.0
2020-10-04,69,38,3,52,66,22,16,5.0,10,20,9,7.0,2.0,6,15,17,14,3.0,15,24,11.0,4.0,0.0,3.0,10.0
2020-10-05,88,49,7,43,79,21,19,7.0,30,43,13,8.0,4.0,13,22,15,17,15.0,23,33,4.0,14.0,1.0,2.0,10.0
2020-10-06,99,52,13,60,68,35,22,5.0,15,28,7,2.0,11.0,16,18,15,14,14.0,25,17,7.0,2.0,0.0,3.0,6.0
2020-10-07,69,32,4,50,76,20,17,7.0,19,28,7,8.0,2.0,8,14,18,18,10.0,27,27,8.0,3.0,0.0,5.0,6.0
2020-10-08,69,41,17,57,73,24,10,8.0,24,33,7,8.0,3.0,8,21,23,13,11.0,28,37,5.0,2.0,0.0,6.0,5.0
2020-10-09,74,38,6,45,83,29,23,11.0,33,31,14,14.0,3.0,11,18,17,19,9.0,31,38,11.0,3.0,2.0,5.0,11.0
2020-10-10,65,42,5,44,73,12,11,6.0,15,33,11,8.0,4.0,8,16,12,13,6.0,27,29,11.0,5.0,1.0,2.0,12.0
2020-10-11,85,47,5,30,70,30,11,5.0,15,29,13,5.0,3.0,15,14,11,20,0.0,17,29,6.0,3.0,1.0,5.0,5.0
2020-10-12,62,61,9,49,87,24,13,5.0,23,32,11,6.0,5.0,11,17,14,5,12.0,37,43,8.0,5.0,1.0,7.0,11.0
2020-10-13,71,44,17,47,90,19,16,11.0,29,39,10,10.0,8.0,13,15,13,16,6.0,25,27,7.0,2.0,4.0,4.0,5.0
2020-10-14,64,30,16,58,80,22,10,9.0,28,30,4,3.0,6.0,11,13,10,19,6.0,33,20,8.0,2.0,2.0,9.0,10.0
2020-10-15,74,28,12,47,83,20,14,4.0,21,33,23,4.0,8.0,13,26,21,15,17.0,26,34,8.0,6.0,1.0,7.0,7.0
2020-10-16,86,48,10,50,70,36,24,12.0,16,34,10,12.0,8.0,13,21,22,13,4.0,19,31,5.0,3.0,0.0,2.0,2.0
2020-10-17,67,37,3,52,91,18,15,3.0,11,32,8,7.0,6.0,6,7,17,15,8.0,31,25,9.0,3.0,3.0,1.0,10.0
2020-10-18,71,39,6,47,69,12,17,3.0,31,25,15,9.0,2.0,7,15,16,23,1.0,18,27,12.0,3.0,0.0,3.0,9.0
2020-10-19,66,47,8,55,84,26,16,5.0,36,42,12,9.0,7.0,26,19,15,15,15.0,36,34,3.0,5.0,1.0,6.0,16.0
2020-10-20,62,37,10,51,78,28,16,3.0,10,26,11,5.0,4.0,18,19,16,8,10.0,29,35,13.0,6.0,0.0,6.0,17.0
2020-10-21,58,44,5,47,81,20,15,7.0,21,46,19,14.0,6.0,7,21,11,14,7.0,31,31,5.0,4.0,2.0,6.0,6.0
2020-10-22,46,43,18,56,94,14,18,2.0,17,29,14,7.0,2.0,10,19,16,14,6.0,31,31,8.0,4.0,1.0,6.0,15.0
2020-10-23,68,44,11,66,74,18,16,8.0,20,30,13,7.0,2.0,17,18,14,12,2.0,36,26,7.0,2.0,0.0,4.0,15.0
2020-10-24,68,45,8,58,82,16,7,4.0,9,23,15,7.0,0.0,8,11,6,13,3.0,31,33,8.0,4.0,0.0,2.0,13.0
2020-10-25,48,41,7,44,73,13,10,1.0,16,26,9,6.0,1.0,14,14,15,22,5.0,21,28,4.0,6.0,0.0,5.0,7.0
2020-10-26,67,38,13,44,77,35,15,6.0,23,36,3,6.0,7.0,13,21,13,14,8.0,30,38,4.0,11.0,0.0,6.0,11.0
2020-10-27,67,42,18,45,67,17,15,9.0,19,48,10,11.0,6.0,11,11,20,15,11.0,24,38,6.0,5.0,0.0,5.0,10.0
2020-10-28,84,49,16,75,79,17,12,6.0,18,39,9,8.0,2.0,9,26,15,20,14.0,30,26,7.0,4.0,1.0,9.0,8.0
2020-10-29,65,47,19,46,72,9,5,7.0,24,42,14,9.0,3.0,18,12,15,16,10.0,18,31,1.0,8.0,1.0,4.0,13.0
2020-10-30,64,35,13,48,65,15,11,6.0,25,35,8,14.0,6.0,10,14,12,15,11.0,27,34,9.0,3.0,2.0,6.0,4.0
2020-10-31,73,37,6,42,71,15,12,4.0,12,20,7,7.0,5.0,14,14,9,15,5.0,25,35,4.0,8.0,0.0,1.0,4.0
2020-11-01,69,46,11,44,76,20,23,5.0,9,27,22,6.0,2.0,13,8,22,7,4.0,25,35,7.0,8.0,0.0,4.0,6.0
2020-11-02,78,44,15,43,83,15,19,7.0,14,47,12,10.0,6.0,11,23,14,14,10.0,31,30,4.0,1.0,2.0,10.0,10.0
2020-11-03,82,41,19,52,81,27,19,6.0,24,25,11,11.0,3.0,6,15,13,19,10.0,30,28,7.0,1.0,1.0,4.0,9.0
2020-11-04,87,46,15,52,73,17,19,5.0,28,50,11,9.0,5.0,14,10,10,16,9.0,32,29,7.0,9.0,4.0,10.0,14.0
2020-11-05,50,44,13,53,87,11,12,9.0,15,39,7,6.0,10.0,15,18,11,16,10.0,34,45,7.0,3.0,1.0,5.0,13.0
2020-11-06,44,46,11,56,79,13,17,2.0,17,27,10,8.0,6.0,9,16,13,17,4.0,33,31,7.0,2.0,1.0,4.0,10.0
2020-11-07,76,26,7,50,71,15,8,2.0,23,20,8,5.0,3.0,14,22,9,15,5.0,33,26,1.0,4.0,1.0,4.0,7.0
2020-11-08,57,32,5,27,69,13,14,3.0,36,27,11,2.0,7.0,14,20,11,17,3.0,19,23,9.0,9.0,1.0,4.0,9.0
2020-11-09,51,47,10,52,87,18,10,13.0,15,44,8,8.0,11.0,16,23,12,16,9.0,41,28,6.0,6.0,3.0,5.0,14.0
2020-11-10,51,45,15,36,71,12,12,14.0,32,20,11,4.0,12.0,14,18,8,12,7.0,35,30,5.0,4.0,0.0,5.0,11.0
2020-11-11,52,38,8,50,72,12,16,5.0,26,39,9,8.0,5.0,25,15,14,16,4.0,24,33,3.0,2.0,2.0,6.0,11.0
2020-11-12,43,28,13,38,72,28,11,9.0,18,37,18,12.0,4.0,11,18,11,19,6.0,41,30,5.0,3.0,0.0,8.0,10.0
2020-11-13,62,39,10,53,72,21,12,11.0,29,33,11,3.0,8.0,21,15,18,14,6.0,31,32,8.0,3.0,1.0,4.0,12.0
2020-11-14,72,23,12,42,75,20,8,5.0,9,37,9,8.0,2.0,12,23,23,11,5.0,24,27,7.0,3.0,0.0,5.0,6.0
2020-11-15,61,39,4,37,85,14,12,4.0,15,28,7,3.0,0.0,8,21,19,12,6.0,10,24,8.0,5.0,0.0,8.0,5.0
2020-11-16,59,51,12,68,106,24,12,5.0,32,42,8,5.0,3.0,15,22,14,21,6.0,35,35,7.0,3.0,2.0,6.0,11.0
2020-11-17,58,38,16,56,93,33,11,3.0,17,42,10,5.0,8.0,12,20,10,17,4.0,28,33,8.0,3.0,3.0,8.0,9.0
2020-11-18,59,46,10,51,95,26,13,8.0,19,28,7,7.0,8.0,13,21,12,14,5.0,37,32,8.0,7.0,1.0,7.0,9.0
2020-11-19,62,30,9,56,80,29,7,10.0,18,35,17,3.0,4.0,22,21,23,15,4.0,41,39,9.0,4.0,0.0,2.0,14.0
2020-11-20,68,42,13,54,85,9,17,10.0,18,29,7,7.0,4.0,17,19,20,20,11.0,36,31,6.0,4.0,0.0,5.0,8.0
2020-11-21,73,38,4,46,86,18,9,6.0,17,29,6,6.0,2.0,17,17,15,15,3.0,29,28,4.0,2.0,0.0,6.0,7.0
2020-11-22,83,32,7,45,81,35,18,5.0,35,28,9,9.0,5.0,12,12,16,13,2.0,18,25,5.0,4.0,0.0,5.0,1.0
2020-11-23,67,44,16,49,101,20,8,17.0,20,42,10,10.0,9.0,14,17,15,20,11.0,28,43,10.0,8.0,1.0,5.0,15.0
2020-11-24,59,42,13,46,75,20,12,9.0,18,34,9,8.0,4.0,11,19,16,9,9.0,36,36,5.0,3.0,2.0,4.0,8.0
2020-11-25,66,36,12,44,69,22,11,18.0,21,33,11,12.0,3.0,12,14,12,20,10.0,35,34,4.0,2.0,0.0,8.0,5.0
2020-11-26,69,43,4,29,53,18,6,4.0,13,30,13,12.0,2.0,5,7,19,9,3.0,23,21,6.0,6.0,2.0,1.0,10.0
2020-11-27,60,38,7,43,80,11,10,1.0,14,26,12,14.0,7.0,13,16,15,12,9.0,39,32,2.0,4.0,1.0,2.0,9.0
2020-11-28,55,35,8,47,83,18,17,7.0,29,33,7,5.0,1.0,15,16,12,13,1.0,31,26,9.0,2.0,2.0,4.0,12.0
2020-11-29,57,45,5,33,62,12,9,0.0,20,25,11,2.0,4.0,10,13,13,14,4.0,28,33,7.0,6.0,1.0,5.0,9.0
2020-11-30,57,65,14,64,94,23,22,10.0,37,35,2,10.0,12.0,9,17,16,15,10.0,30,27,8.0,5.0,0.0,7.0,7.0
2020-12-01,58,39,14,61,82,20,16,7.0,15,28,8,6.0,7.0,17,27,12,6,12.0,30,28,8.0,5.0,2.0,4.0,4.0
2020-12-02,56,38,10,50,81,17,11,8.0,13,33,14,11.0,8.0,20,22,16,21,8.0,37,26,5.0,6.0,2.0,10.0,13.0
2020-12-03,55,42,15,54,92,14,15,4.0,20,35,6,5.0,13.0,22,27,13,17,5.0,32,26,2.0,4.0,2.0,8.0,10.0
2020-12-04,52,48,13,58,79,15,12,4.0,22,25,9,10.0,6.0,13,19,11,14,10.0,28,36,1.0,3.0,0.0,3.0,11.0
2020-12-05,60,42,6,59,90,17,15,6.0,14,25,11,6.0,1.0,13,13,14,17,4.0,29,26,6.0,7.0,2.0,2.0,9.0
2020-12-06,59,38,15,49,66,16,12,3.0,15,38,10,9.0,5.0,11,21,17,10,4.0,18,38,4.0,3.0,1.0,3.0,2.0
2020-12-07,63,54,16,58,92,20,21,11.0,30,34,4,7.0,7.0,12,22,18,20,10.0,36,37,5.0,3.0,0.0,4.0,12.0
2020-12-08,62,36,13,47,106,16,10,19.0,26,32,13,9.0,9.0,17,15,14,12,8.0,40,28,6.0,1.0,2.0,5.0,7.0
2020-12-09,72,26,21,55,77,18,9,4.0,17,32,16,10.0,6.0,12,18,7,15,3.0,39,23,3.0,5.0,2.0,8.0,8.0
2020-12-10,66,39,10,49,66,22,15,11.0,20,41,8,8.0,8.0,17,13,8,12,9.0,37,22,8.0,4.0,1.0,5.0,9.0
2020-12-11,78,49,13,52,86,15,11,7.0,19,22,13,13.0,2.0,12,22,12,12,8.0,31,26,3.0,5.0,3.0,3.0,6.0
2020-12-12,48,32,11,33,74,29,11,5.0,13,26,8,4.0,4.0,10,18,11,13,1.0,30,26,8.0,7.0,0.0,4.0,7.0
2020-12-13,57,33,4,35,88,19,9,3.0,18,30,9,5.0,5.0,14,19,16,17,2.0,23,27,3.0,4.0,2.0,2.0,6.0
2020-12-14,59,36,12,69,86,15,11,7.0,26,27,10,13.0,8.0,17,17,12,16,14.0,33,29,7.0,5.0,1.0,3.0,8.0
2020-12-15,52,38,14,48,64,13,11,9.0,21,34,4,4.0,5.0,10,19,15,15,10.0,31,45,2.0,2.0,1.0,5.0,7.0
